win,dealer_up_card,player_hand_val,action,ace
True,6,7,double down,False
True,Q,20,split,False
True,Q,19,hit,False
True,Q,20,split,False
True,Q,11 / 21,stand,True
True,5,13,stand,False
False,4,20,hit,False
False,6,14,stand,False
True,6,10 / 20,stand,True
True,J,11 / 21,double down,True
False,8,6,double down,False
False,9,16,stand,False
False,Q,12,stand,False
True,3,8,stand,False
True,7,20,stand,False
False,Q,15,stand,False
True,T,15,stand,False
True,9,13,stand,False
True,5,5,double down,False
False,9,4 / 14,double down,True
False,7,15,hit,False
False,K,10,stand,False
True,4,6,stand,False
False,2,20,double down,False
False,8,20,double down,False
True,3,19,stand,False
False,2,17,hit,False
False,5,12,hit,True
False,J,18,hit,False
True,Q,12,stand,False
False,T,18,hit,False
False,4,15,double down,False
False,7,11 / 21,double down,True
True,J,10,stand,False
False,T,11 / 21,double down,True
False,Q,17,hit,False
True,8,19,stand,False
False,Q,15,double down,False
False,K,16,stand,False
False,9,4 / 14,stand,True
True,8,16,stand,False
False,7,9,stand,False
False,8,18,stand,False
False,A,7 / 17,stand,True
False,2,2 / 12,split,True
False,2,3 / 13,double down,True
False,2,2 / 12,split,True
False,2,3 / 13,double down,True
True,3,17,hit,False
False,7,20,double down,False
False,7,9,stand,False
True,6,8,double down,False
False,J,10,double down,False
True,A,16,stand,False
True,2,12,stand,False
False,A,16,double down,False
False,J,20,double down,False
True,8,11,double down,False
False,7,14,hit,True
False,8,8 / 18,double down,True
False,7,18,hit,False
False,6,13,hit,False
False,3,8,stand,False
False,T,18,hit,False
False,9,20,hit,False
True,3,21,hit,True
False,T,11,stand,False
False,5,13,stand,False
False,3,19,double down,False
False,7,8 / 18,stand,True
True,2,11 / 21,stand,True
False,9,16,hit,False
False,4,16,hit,True
False,4,18,hit,False
False,8,15,stand,False
True,8,13,double down,False
False,3,15,hit,False
True,4,15,hit,False
False,J,12,hit,False
False,Q,16,hit,False
False,7,13,stand,False
True,6,19,stand,False
True,2,13,stand,False
False,9,18,hit,True
True,4,14,hit,False
False,K,20,hit,False
False,J,19,hit,False
True,5,14,stand,False
False,8,7,stand,False
False,K,13,stand,False
False,4,16,hit,False
False,5,7 / 17,stand,True
True,5,16,double down,False
False,J,13,double down,False
False,6,17,stand,False
True,6,14,double down,False
False,6,20,hit,False
True,4,21,hit,False
False,Q,20,hit,False
True,4,12,double down,False
False,Q,21,hit,False
False,2,15,double down,False
False,2,18,stand,False
False,8,20,double down,False
False,Q,16,hit,False
False,8,15,stand,False
False,8,9,double down,False
False,Q,12,stand,False
True,8,5 / 15,stand,True
False,9,15,stand,False
False,A,20,stand,False
True,9,17,double down,False
False,7,12,stand,False
True,6,6,stand,False
False,4,19,hit,True
False,2,13,hit,False
False,7,18,hit,False
False,K,6,stand,False
False,2,20,hit,False
True,9,11,stand,False
True,9,8,split,False
True,9,10,double down,False
False,9,8,split,False
False,9,15,hit,True
False,4,17,stand,False
False,T,13,stand,False
False,9,19,hit,True
False,4,18,double down,False
False,9,16,stand,False
True,T,6,double down,False
False,7,18,hit,False
False,Q,8,stand,False
False,2,13,stand,False
False,Q,12,double down,False
True,T,17,stand,False
False,4,13,stand,False
True,K,11 / 21,stand,True
True,T,20,stand,False
False,2,17,hit,True
False,Q,13,stand,False
False,7,15,double down,False
False,3,16,stand,False
True,6,17,hit,True
True,T,14,double down,False
True,7,19,hit,False
False,2,14,hit,False
False,8,15,hit,False
False,A,16,hit,False
True,9,9,stand,False
False,T,19,hit,False
False,J,15,stand,False
True,2,17,hit,True
True,2,13,double down,False
True,9,11,double down,False
False,4,13,stand,False
False,5,2 / 12,stand,True
False,6,15,double down,False
False,8,15,stand,False
True,2,12,double down,False
False,5,17,double down,False
False,7,13,hit,False
False,A,13,stand,False
False,A,4 / 14,stand,True
False,J,14,hit,False
True,8,13,double down,False
False,8,19,hit,False
False,J,13,double down,False
True,4,13,double down,False
True,7,16,split,False
True,7,9 / 19,stand,True
False,7,16,split,False
False,7,11,stand,False
False,7,18,stand,False
False,J,15,double down,False
True,7,13,stand,False
False,K,17,hit,False
False,3,21,hit,False
False,6,18,hit,False
False,J,12,double down,False
False,T,14,hit,False
False,T,12,double down,False
False,K,12,double down,False
False,3,12,double down,False
False,2,10,stand,False
False,A,18,stand,False
False,2,20,hit,False
False,9,16,hit,False
True,9,21,hit,True
False,8,16,double down,False
True,9,11 / 21,double down,True
False,K,15,double down,False
False,T,11,double down,False
False,K,18,hit,False
False,Q,20,hit,False
False,5,14,hit,False
False,8,18,hit,True
False,T,17,hit,False
True,7,19,stand,False
False,2,7 / 17,stand,True
True,7,19,double down,False
False,A,9,double down,False
False,T,15,hit,False
True,6,14,double down,False
False,9,15,hit,False
False,2,18,hit,False
False,4,17,double down,False
False,9,13,stand,False
False,2,12,stand,False
False,5,18,double down,False
True,8,14,double down,False
False,7,15,hit,False
False,3,13,hit,True
False,7,17,hit,False
False,3,19,double down,False
False,K,15,hit,False
False,8,20,hit,False
True,5,6,stand,False
True,Q,12,stand,False
False,7,15,hit,False
True,Q,20,stand,False
False,4,17,stand,False
True,8,20,stand,False
False,6,13,stand,False
True,T,18,stand,False
False,2,19,hit,True
True,3,19,stand,False
False,J,15,hit,False
False,T,11 / 21,double down,True
False,A,10 / 20,stand,True
True,A,13,stand,False
True,J,11,double down,False
False,K,8,stand,False
True,5,6,split,False
True,5,11,double down,False
False,5,6,split,False
False,5,19,hit,False
False,8,18,hit,False
True,4,5 / 15,double down,True
False,3,19,double down,False
False,K,12,double down,False
False,A,20,stand,False
False,5,13,double down,False
False,9,21,hit,False
False,A,5 / 15,stand,True
True,4,16,stand,False
False,9,12,hit,True
True,7,11 / 21,double down,True
False,Q,15,stand,False
False,A,16,hit,False
False,5,4 / 14,double down,True
False,Q,19,double down,False
True,T,20,hit,False
False,8,14,stand,False
False,9,20,double down,False
False,7,12,stand,False
False,J,9,stand,False
False,2,17,hit,False
False,4,17,stand,False
True,3,11 / 21,double down,True
False,6,18,hit,False
False,9,14,hit,False
True,3,14,double down,False
True,T,9 / 19,stand,True
False,7,12,hit,True
False,9,20,double down,False
True,7,13,stand,False
False,8,17,double down,False
False,K,15,stand,False
False,9,15,hit,False
False,J,17,hit,False
True,3,21,hit,False
False,T,12,double down,False
False,Q,20,stand,False
True,T,19,stand,False
False,Q,14,stand,False
True,3,11 / 21,stand,True
False,K,14,hit,True
True,8,21,hit,False
True,3,21,hit,True
False,K,19,stand,False
False,T,15,stand,False
True,7,11 / 21,double down,True
False,2,14,double down,False
False,2,19,double down,False
False,9,5,double down,False
False,3,17,double down,False
True,9,7,double down,False
False,T,11,double down,False
False,K,18,hit,False
False,K,20,hit,True
False,Q,20,hit,False
False,K,8,double down,False
False,6,20,hit,False
False,2,6 / 16,hit,True
False,6,15,hit,False
True,2,11 / 21,stand,True
True,7,11,stand,False
False,T,6,double down,False
False,Q,19,double down,False
True,J,13,double down,False
True,A,10,double down,False
False,Q,19,hit,True
False,T,7,stand,False
False,7,12,double down,False
False,J,16,hit,False
False,3,16,stand,False
False,J,8,stand,False
False,4,12,stand,False
False,J,15,double down,False
False,5,8,double down,False
False,T,20,stand,False
False,J,20,hit,False
True,4,15,stand,False
True,J,10,double down,False
True,7,12,stand,False
False,2,13,stand,False
True,6,10 / 20,hit,True
True,6,15,hit,False
False,5,16,double down,False
True,9,8 / 18,double down,True
True,T,7 / 17,double down,True
False,4,10,stand,False
True,3,10,stand,False
False,Q,14,hit,False
False,K,10,hit,False
False,8,19,hit,False
False,9,20,hit,False
False,Q,19,hit,False
False,6,20,double down,False
False,4,3 / 13,double down,True
True,T,19,double down,False
False,A,14,double down,False
True,6,4 / 14,stand,True
False,T,12,double down,False
False,7,13,hit,False
True,2,14,stand,False
False,Q,19,hit,True
False,3,12,hit,False
False,9,15,hit,False
False,8,21,hit,False
False,5,15,hit,False
False,2,19,double down,False
False,6,19,hit,False
False,7,17,hit,False
False,T,9 / 19,double down,True
False,7,13,double down,False
